tick,bottom 20%,bottom 40%,bottom 60%,bottom 80%,bottom 100%,Gini
0,6.91,20.40,40.25,67.14,100.00,.27
1,7.17,21.09,40.92,67.08,100.00,.26
2,6.68,19.97,39.11,65.16,100.00,.28
3,5.99,19.11,38.18,64.12,100.00,.30
4,5.40,18.03,36.05,61.64,100.00,.32
5,4.75,16.86,35.27,61.32,100.00,.34
6,4.83,16.60,35.01,60.85,100.00,.34
7,5.05,17.42,36.33,61.64,100.00,.33
8,5.32,17.65,36.43,61.28,100.00,.33
9,5.08,17.56,36.03,60.39,100.00,.34
10,4.29,16.05,34.43,59.03,100.00,.36
11,3.74,14.21,32.20,57.27,100.00,.39
12,3.56,14.44,32.50,57.25,100.00,.38
13,4.26,15.16,32.99,57.43,100.00,.38
14,4.16,15.44,33.14,57.05,100.00,.38
15,4.13,15.42,32.74,56.10,100.00,.39
16,4.51,15.40,32.83,56.46,100.00,.38
17,3.98,14.78,32.01,56.33,100.00,.39
18,3.45,14.42,31.31,55.73,100.00,.40
19,3.62,14.04,31.36,55.96,100.00,.40
20,3.67,14.15,32.06,56.79,100.00,.39
21,4.64,16.25,34.42,58.46,100.00,.36
22,4.67,16.39,34.40,58.91,100.00,.36
23,4.18,14.86,32.04,56.97,100.00,.38
24,3.98,13.93,31.05,55.56,100.00,.40
25,3.57,13.56,29.91,54.79,100.00,.41
26,2.81,12.18,28.93,54.29,100.00,.43
27,3.16,13.41,29.92,55.42,100.00,.41
28,4.29,14.85,31.28,55.68,100.00,.39
29,4.31,15.00,31.55,56.11,100.00,.39
30,4.19,14.50,31.17,55.51,100.00,.40
31,3.49,13.74,31.32,56.27,100.00,.40
32,4.63,16.33,34.35,58.48,100.00,.36
33,3.70,14.19,31.82,56.52,100.00,.39
34,3.88,14.64,32.51,56.93,100.00,.39
35,4.31,15.45,33.50,58.11,100.00,.37
36,4.51,15.63,33.76,58.51,100.00,.37
37,3.79,14.16,32.34,58.17,100.00,.38
38,3.34,13.95,32.06,57.06,100.00,.39
39,3.38,13.93,31.50,56.12,100.00,.40
40,3.62,13.66,30.58,55.90,100.00,.40
41,3.68,14.02,31.44,56.46,100.00,.40
42,3.10,13.25,30.27,55.76,100.00,.41
43,2.97,12.63,29.58,55.34,100.00,.42
44,3.10,13.16,30.62,56.50,100.00,.41
45,3.39,13.69,30.54,56.61,100.00,.40
46,4.56,14.81,32.01,56.83,100.00,.39
47,3.05,12.94,30.36,55.93,100.00,.41
48,3.08,13.34,30.97,56.94,100.00,.40
49,3.85,14.43,31.85,57.03,100.00,.39
50,3.44,13.89,30.33,55.36,100.00,.41
51,3.76,14.18,31.12,56.16,100.00,.40
52,3.88,14.17,31.18,56.16,100.00,.40
53,3.79,13.31,29.51,54.24,100.00,.42
54,3.63,13.04,29.55,54.87,100.00,.42
55,3.40,13.23,31.12,56.92,100.00,.40
56,2.96,13.26,31.59,57.60,100.00,.40
57,3.86,15.19,33.83,60.03,100.00,.36
58,4.04,15.66,34.05,59.90,100.00,.36
59,4.23,15.87,33.76,59.31,100.00,.36
60,3.89,15.35,33.77,59.83,100.00,.36
61,4.58,15.62,34.21,60.35,100.00,.35
62,3.43,14.46,32.62,59.31,100.00,.37
63,3.72,14.83,32.99,59.13,100.00,.37
64,4.33,15.58,34.77,60.89,100.00,.35
65,4.04,14.63,33.99,59.51,100.00,.36
66,3.46,15.19,33.71,58.53,100.00,.37
67,3.82,15.26,33.37,58.20,100.00,.37
68,3.62,14.98,33.21,58.62,100.00,.37
69,3.90,15.44,33.90,59.37,100.00,.36
70,4.08,16.22,34.60,59.41,100.00,.36
71,4.33,16.66,35.26,60.18,100.00,.35
72,3.48,15.36,33.56,58.98,100.00,.37
73,4.17,16.33,34.68,60.20,100.00,.35
74,4.79,16.31,34.48,59.18,100.00,.36
75,4.66,15.62,33.31,58.03,100.00,.37
76,3.57,14.19,32.46,58.41,100.00,.38
77,3.68,14.16,32.50,59.12,100.00,.38
78,3.96,15.67,34.53,61.42,100.00,.35
79,3.61,15.45,33.85,60.86,100.00,.36
80,4.57,15.82,33.58,60.52,100.00,.35
81,3.82,15.06,33.71,61.54,100.00,.35
82,3.44,15.08,33.97,60.77,100.00,.36
83,4.40,17.42,36.49,62.14,100.00,.33
84,4.57,15.75,33.97,60.05,100.00,.35
85,4.62,15.73,33.96,60.68,100.00,.35
86,4.84,16.73,35.31,60.96,100.00,.34
87,5.07,16.69,34.73,59.97,100.00,.35
88,4.52,15.20,33.06,58.05,100.00,.37
89,3.85,14.42,31.74,57.57,100.00,.39
90,3.45,14.56,32.16,57.75,100.00,.39
91,4.18,16.13,34.53,60.25,100.00,.35
92,3.92,15.02,33.30,60.18,100.00,.36
93,3.52,13.94,32.74,59.44,100.00,.38
94,3.33,14.92,33.59,59.52,100.00,.37
95,4.49,15.90,33.86,59.86,100.00,.36
96,4.23,15.27,34.36,61.31,100.00,.35
97,4.24,15.89,35.31,61.52,100.00,.34
98,4.43,15.73,34.39,60.71,100.00,.35
99,4.35,14.84,33.62,59.46,100.00,.37
